p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	cluster
0.738810098362095	0.00180074944770925	0.807	0.827	1	Hectd1	Tex-Prf1
0.739043505122515	0.0242876354155214	0.331	0.333	1	Ak6	Tex-Prf1
0.739410365840855	0.000956881716834723	0.501	0.499	1	Hmgn5	Tex-Prf1
0.739611393883089	-0.0221266055422142	0.487	0.494	1	Gar1	Tex-Prf1
0.739776276303362	-0.00729588541405102	0.401	0.422	1	Unc119b	Tex-Prf1
0.740161016451207	0.0341295947115923	0.459	0.471	1	Napg	Tex-Prf1
0.740403449396147	0.00612857296591085	0.748	0.751	1	Ctcf	Tex-Prf1
0.740701986913545	0.0254699856005483	0.333	0.328	1	Ryk	Tex-Prf1
0.740706181169525	0.00640711936716754	0.947	0.947	1	D8Ertd738e	Tex-Prf1
0.740995535542034	-0.0109809566728116	0.347	0.364	1	Mfng	Tex-Prf1
0.741060252316933	-0.016988162050851	0.378	0.399	1	Rnf181	Tex-Prf1
0.741134518742215	0.0123155550890713	0.415	0.412	1	Atg101	Tex-Prf1
0.742424503087515	0.00746938476360115	0.678	0.667	1	Emc3	Tex-Prf1
0.742622906489721	0.0219276245860012	0.37	0.374	1	Bet1	Tex-Prf1
0.742632220200596	-0.014545006134001	0.443	0.463	1	4833420G17Rik	Tex-Prf1
0.742859065519285	-0.00711845164376568	0.308	0.333	1	Il17ra	Tex-Prf1
0.743224127474327	0.00900744868718262	0.521	0.547	1	Ube2v2	Tex-Prf1
0.743309721611123	-0.00692975026843201	0.866	0.891	1	Srsf11	Tex-Prf1
0.743658603120418	0.0149843165307919	1	1	1	Rps13	Tex-Prf1
0.744065783518414	0.0206375315387053	0.328	0.336	1	Bloc1s4	Tex-Prf1
0.745136785344881	-0.00189211534242373	0.501	0.524	1	Zfp445	Tex-Prf1
0.745674362600298	-0.00535689159015562	0.392	0.407	1	Atic	Tex-Prf1
0.746469159275554	-0.00994239974584987	0.779	0.814	1	Rbbp4	Tex-Prf1
0.746494518633358	-0.0154775798309366	0.305	0.316	1	Orc2	Tex-Prf1
0.746603391789909	-0.0199250917935356	0.403	0.394	1	Ezh2	Tex-Prf1
0.746724760666559	-0.00890550339668444	0.294	0.31	1	Traf2	Tex-Prf1
0.747666988990629	0.0180389415186737	0.793	0.824	1	Wdr1	Tex-Prf1
0.747681104054251	0.028342821412988	0.319	0.331	1	Rce1	Tex-Prf1
0.748232602064538	-0.0131770927258296	0.308	0.331	1	Armc10	Tex-Prf1
0.748495050829001	-0.0402550591354224	0.398	0.405	1	Cbll1	Tex-Prf1
0.748552701457257	0.00125728459802998	0.485	0.514	1	Mphosph8	Tex-Prf1
0.748657858203615	-0.0143396867742451	0.625	0.669	1	Auh	Tex-Prf1
0.748809954148683	0.0349140865501745	0.779	0.761	1	Svbp	Tex-Prf1
0.748850444501311	-0.00134365684048177	0.308	0.331	1	Adsl	Tex-Prf1
0.74934269710256	0.00218411348352754	0.521	0.509	1	Adrm1	Tex-Prf1
0.750547604777284	-0.0046339388899338	0.532	0.562	1	Dync1li1	Tex-Prf1
0.750799802345179	0.0051385790795625	0.398	0.382	1	Myef2	Tex-Prf1
0.751436260942057	0.0211667743743028	0.583	0.588	1	Exosc3	Tex-Prf1
0.751456588754071	-0.00672558029487913	1	1	1	Rpl8	Tex-Prf1
0.751870688156795	0.00195496946111373	0.443	0.435	1	Nosip	Tex-Prf1
0.752584219963261	0.0298362236641521	0.322	0.323	1	Stim2	Tex-Prf1
0.752655085709674	0.00591827217632135	0.286	0.305	1	4930581F22Rik	Tex-Prf1
0.753133194335925	0.0242085965770223	0.543	0.573	1	Nfu1	Tex-Prf1
0.753243706936848	-0.0204185803245664	0.969	0.957	1	Ndufa6	Tex-Prf1
0.753706330156724	-0.037237538926803	0.359	0.364	1	Stx6	Tex-Prf1
0.753755648579866	0.0276791978842925	0.95	0.972	1	Gimap1	Tex-Prf1
0.753812408911692	0.00696295189686125	0.507	0.527	1	Arl4a	Tex-Prf1
0.753831833652812	0.0289791195621418	0.737	0.763	1	Bola3	Tex-Prf1
0.754026274641483	-0.00748331822333881	0.703	0.715	1	Txndc9	Tex-Prf1
0.754164505172236	0.0235886932598097	0.473	0.517	1	C1galt1	Tex-Prf1
0.754497516347804	0.00993832414959533	0.303	0.323	1	Stam2	Tex-Prf1
0.754785535584993	-0.0186657281717168	0.356	0.364	1	Prpf31	Tex-Prf1
0.754812267165608	-0.023251401954382	0.664	0.7	1	BC005537	Tex-Prf1
0.755195921032006	0.014223993008416	0.86	0.888	1	Pet100	Tex-Prf1
0.755286278937722	-0.0724941940988024	0.647	0.636	1	Gm2a	Tex-Prf1
0.75580547995087	-0.0567303803693385	0.605	0.621	1	Tceal9	Tex-Prf1
0.756188296388877	0.0432141382230506	0.79	0.814	1	Cish	Tex-Prf1
0.757382263199206	0.0207963285894359	0.277	0.31	1	Kdm3b	Tex-Prf1
0.757734985619313	0.0250267044465113	0.429	0.463	1	Tstd3	Tex-Prf1
0.757765839723907	-0.0114050589388991	0.347	0.361	1	Chm	Tex-Prf1
0.758204087390003	-0.00510425280115817	0.412	0.422	1	Trim35	Tex-Prf1
0.758400054346168	-0.0391502855014898	0.552	0.562	1	Mtrex	Tex-Prf1
0.758777601027957	-0.0175014152269409	0.409	0.425	1	Qars	Tex-Prf1
0.759406626778874	-0.0213198745673595	0.748	0.766	1	Cox14	Tex-Prf1
0.759478414181607	0.0139423306873214	0.714	0.73	1	Dap	Tex-Prf1
0.759757872349808	0.0160913049925477	0.86	0.868	1	Tmed10	Tex-Prf1
0.761936421521456	-0.0118953547870918	0.403	0.405	1	Gm44175	Tex-Prf1
0.76284048734253	0.00344828820630638	0.336	0.351	1	Phf10	Tex-Prf1
0.762843292184501	-0.013763771347292	0.919	0.944	1	Rac1	Tex-Prf1
0.763217666273587	0.000424674921661039	0.367	0.387	1	Rgs19	Tex-Prf1
0.763324387929144	0.0245477874848308	0.336	0.331	1	Abhd8	Tex-Prf1
0.763446313522969	-0.0456898770502205	0.695	0.659	1	Icos	Tex-Prf1
0.763686569135914	0.00442444199388814	0.728	0.751	1	Fbxw2	Tex-Prf1
0.764330209818331	-0.0195613523008915	0.417	0.422	1	Zfp24	Tex-Prf1
0.764665287047511	-0.0355937811175057	0.331	0.341	1	Gadd45g	Tex-Prf1
0.765009032306455	-0.0265678493286237	0.829	0.855	1	Eif3j1	Tex-Prf1
0.765044219919452	0.0115555965863503	0.451	0.473	1	Ubxn6	Tex-Prf1
0.765172826664529	0.0324656035134988	0.347	0.349	1	Lrch3	Tex-Prf1
0.765513961904265	0.00128257743566906	0.815	0.796	1	Zfand6	Tex-Prf1
0.76558673451372	-0.00803401986019192	0.311	0.331	1	Tpm1	Tex-Prf1
0.766149774001794	0.01361016785941	0.524	0.537	1	Mrps17	Tex-Prf1
0.766374918919337	0.0726275489389816	0.58	0.603	1	Ifi208	Tex-Prf1
0.766670787305179	-0.00959661004340417	0.681	0.712	1	Fosl2	Tex-Prf1
0.766701424495141	0.0170985405275142	0.711	0.738	1	Taf15	Tex-Prf1
0.766951396834321	0.0589956671753274	0.398	0.407	1	Tomm34	Tex-Prf1
0.767124699633368	0.0307970827275028	0.602	0.621	1	Smim15	Tex-Prf1
0.76733134743282	0.000482689017300086	0.756	0.748	1	Copb1	Tex-Prf1
0.76739998021664	0.0131554586875188	0.336	0.351	1	Cstf3	Tex-Prf1
0.768497534260391	-0.00871492053446576	0.499	0.522	1	Prpf38a	Tex-Prf1
0.769155506374809	0.00992739061859838	0.529	0.555	1	Pitpnb	Tex-Prf1
0.769186068365794	-0.00381550323897728	0.958	0.972	1	Rtraf	Tex-Prf1
0.769317579064562	0.000606730784168175	0.969	0.977	1	Dad1	Tex-Prf1
0.769744152342624	-0.0283778230227473	0.417	0.42	1	Smc5	Tex-Prf1
0.770076560416057	0.00616121677963588	0.882	0.898	1	Dynlrb1	Tex-Prf1
0.770095065202073	0.00729544429018864	0.314	0.328	1	Abhd16a	Tex-Prf1
0.770189608308849	-0.0293860718632346	0.619	0.611	1	Cenpa	Tex-Prf1
0.770294387929499	0.0305952072724975	0.403	0.402	1	Ggps1	Tex-Prf1
0.770652266874324	-0.13920964518696	0.345	0.359	1	Mki67	Tex-Prf1
0.770915262667907	0.0120958297464877	0.513	0.547	1	Chst12	Tex-Prf1
0.771708536514255	-0.0108467103321992	0.798	0.809	1	Prpf38b	Tex-Prf1
0.7717187197974	-0.0149171360127225	0.378	0.399	1	Prrc1	Tex-Prf1
0.771766958453431	-0.00549924478289077	0.574	0.593	1	Krcc1	Tex-Prf1
0.77180942708216	-0.0165149242880396	0.493	0.524	1	Vezf1	Tex-Prf1
0.771983865632283	0.00426423502480311	0.555	0.578	1	1110038F14Rik	Tex-Prf1
0.772025279252498	0.0270575003747262	0.972	0.962	1	Ywhae	Tex-Prf1
0.772499387867885	0.00826650022569081	0.277	0.303	1	Gdi1	Tex-Prf1
0.772539203696869	0.0147301793896579	0.395	0.399	1	Cdkn2aipnl	Tex-Prf1
0.772768466597647	0.0243217457111684	0.375	0.387	1	Acap2	Tex-Prf1
0.772784651906182	0.00753878438149269	0.569	0.58	1	Virma	Tex-Prf1
0.773021333256294	0.0208234757791286	0.521	0.557	1	Erlec1	Tex-Prf1
0.773485966318746	-0.015029308091927	0.622	0.654	1	Glrx2	Tex-Prf1
0.773501445195796	0.00648236999515583	0.367	0.384	1	Nbeal2	Tex-Prf1
0.773830167892961	0.0289839598797898	0.353	0.351	1	Apaf1	Tex-Prf1
0.774244356303769	0.0095819359843039	0.896	0.903	1	Tap1	Tex-Prf1
0.775000326550019	0.0212119254926604	1	1	1	Rpl36a	Tex-Prf1
0.775208351939299	0.00809966169728282	0.874	0.845	1	Ppp1r16b	Tex-Prf1
0.77524082852973	0.0168240962928388	0.347	0.361	1	Cep170	Tex-Prf1
0.775398469203719	0.00432587486973823	0.356	0.379	1	Fam13b	Tex-Prf1
0.775542082806241	-0.00599774796997898	0.395	0.417	1	Ppp2r5e	Tex-Prf1
0.775886225373927	0.0302356389002659	0.479	0.486	1	Ccndbp1	Tex-Prf1
0.776280003032513	-0.0173750913043884	0.661	0.674	1	Ppp4r2	Tex-Prf1
0.776463990196263	-0.00580857800678003	0.644	0.654	1	Srgap3	Tex-Prf1
0.777178997868833	-0.00967079127003229	0.308	0.323	1	Xpo5	Tex-Prf1
0.777820230032187	-0.0254636564160806	0.93	0.947	1	Sumo1	Tex-Prf1
0.778019083293245	0.0249619214330383	0.308	0.336	1	Wdr75	Tex-Prf1
0.778890008888	0.00538047326624269	0.588	0.598	1	Hikeshi	Tex-Prf1
0.779267867321497	-0.0235687984793951	0.966	0.992	1	Prelid1	Tex-Prf1
0.779295440527423	0.0132742084685558	0.443	0.461	1	Hspbp1	Tex-Prf1
0.780482614219386	-0.0196983359023807	0.417	0.425	1	Tm2d3	Tex-Prf1
0.780709090934853	-0.0107540833134884	0.342	0.359	1	Kcnk5	Tex-Prf1
0.780748058275315	-0.00711104511672789	0.597	0.608	1	Galnt1	Tex-Prf1
0.781306439123552	0.0208056835764078	0.387	0.399	1	Mrps30	Tex-Prf1
0.781379113123364	-0.0109580870414339	0.563	0.593	1	Csnk1g3	Tex-Prf1
0.781888929121118	-0.0146653741319432	0.429	0.438	1	Gnpnat1	Tex-Prf1
0.782031447275977	0.0362732942144711	0.437	0.448	1	Dapk3	Tex-Prf1
0.782620728762589	0.00474651809282961	0.423	0.407	1	Nudt4	Tex-Prf1
0.782789912646654	-0.0075690208030238	0.549	0.56	1	Paxbp1	Tex-Prf1
0.782809883626564	-0.00432870532595997	0.641	0.682	1	Emc6	Tex-Prf1
0.782881710032606	0.00933271292342175	0.532	0.578	1	Ccdc115	Tex-Prf1
0.783225702834969	0.00466192495007856	0.395	0.399	1	Plaa	Tex-Prf1
0.783371238373058	-0.00926382573939821	0.594	0.573	1	Myo1f	Tex-Prf1
0.783509792655829	0.0114935970834272	0.308	0.333	1	Ccdc6	Tex-Prf1
0.783543807055667	-0.00627707468855299	1	1	1	Rps26	Tex-Prf1
0.783556644287875	0.0071669128777968	0.37	0.397	1	Traf5	Tex-Prf1
0.784359014141161	-0.0173979261842924	0.347	0.354	1	Ube2g2	Tex-Prf1
0.784483315078164	0.0117590447866182	0.403	0.405	1	Osbpl8	Tex-Prf1
0.784718676894172	0.0302645743831686	0.415	0.42	1	Iscu	Tex-Prf1
0.784906499879289	-0.0216613475892183	0.636	0.654	1	Safb	Tex-Prf1
0.78537599321847	0.00863175408904893	0.398	0.42	1	Chp1	Tex-Prf1
0.786205984931304	0.0277073537860058	0.294	0.303	1	Exoc1	Tex-Prf1
0.787133805080199	0.041418240082474	0.308	0.318	1	Mrps10	Tex-Prf1
0.787426948103626	0.0319567494449606	0.675	0.687	1	Cd247	Tex-Prf1
0.787824999250589	0.0259369843598531	0.521	0.522	1	Stx16	Tex-Prf1
0.788054520925204	0.0187746031344265	0.546	0.532	1	Rfx7	Tex-Prf1
