p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	cluster
0.733253684727889	0.0267765327384388	0.922	0.87	1	Arf1	3
0.733366149856207	0.0341279605499909	0.882	0.927	1	Park7	3
0.733398851332064	0.0983964688298318	0.745	0.724	1	Eif2s1	3
0.733406333708964	-0.1170146178535	0.922	0.935	1	Ptbp3	3
0.733448105661037	0.00694059435286398	1	1	1	Rpl37a	3
0.733667568425333	0.116414219065519	0.471	0.52	1	Wdr61	3
0.733814060830997	0.0408313292753166	0.588	0.667	1	Irf9	3
0.734111510163734	0.0318949757748744	0.412	0.374	1	Ythdf1	3
0.734735831373751	-0.0138609642038439	0.333	0.39	1	Mrpl11	3
0.734791123785164	0.0136918563823643	0.647	0.634	1	Clptm1l	3
0.735202130422616	-0.00722708722727594	0.686	0.715	1	Cdv3	3
0.735265842318774	0.0619702310454259	0.314	0.382	1	Ski	3
0.73584905804626	0.0646883514262366	0.627	0.715	1	Ddx17	3
0.735937437948898	0.0366576358964088	0.961	0.984	1	Cd48	3
0.736133379719808	-0.0296835646906569	0.314	0.341	1	Fra10ac1	3
0.736299260353019	0.0992433098689533	0.275	0.333	1	Smim7	3
0.736762703566986	-0.0141731262508822	0.784	0.878	1	Grb2	3
0.736948624257383	-0.0270062329657639	0.333	0.366	1	Ttf1	3
0.737185174993304	0.0360813168240033	1	1	1	Rpl10a	3
0.737742271181646	-0.0664664419010267	0.471	0.504	1	Rgs10	3
0.737808813029109	-0.0800338836478103	0.294	0.317	1	Dcaf5	3
0.73814150422264	-0.0586507571740824	0.882	0.862	1	Slc25a4	3
0.738405074616952	0.00611431170298105	0.314	0.374	1	Sidt2	3
0.738432808018255	-0.0657896429026548	0.471	0.496	1	Rab1a	3
0.738463359401339	-0.0207827563124261	0.569	0.699	1	Cyfip2	3
0.73902398301874	-0.0145658300538638	0.725	0.764	1	Mrps24	3
0.739024128418458	-0.059154022173783	0.667	0.789	1	Rassf5	3
0.739042771731017	-0.077110975316157	0.392	0.398	1	Katna1	3
0.739177421528283	-0.0322153819285718	0.706	0.715	1	Ufc1	3
0.739283151879166	0.104061962976931	0.275	0.341	1	Med29	3
0.739323700937011	0.000429432645433547	0.294	0.325	1	Gm47586	3
0.739339578816618	0.0021592046359849	0.333	0.382	1	Copg1	3
0.739583049403285	-0.0168278175313195	0.863	0.927	1	Cops9	3
0.739850661322175	0.0317877000947651	0.745	0.732	1	Cd96	3
