	HD276_Trest	HD276_Ttumor	HD276_Teff	HD276_Tex	HD280_Trest	HD280_Ttumor	HD280_Teff	HD280_Tex	HD286_Trest	HD286_Ttumor	HD286_Teff	HD286_Tex	HD287_Trest	HD287_Ttumor	HD287_Teff	HD287_Tex
CORO1B	7.67924851915447	8.3340398572411	6.64420822230024	8.31309751312422	7.9445022353847	8.42032802837407	6.80933647292291	8.43571899594715	7.74311415151373	8.24318250541929	6.65810509909629	7.99612615135439	7.73142947676918	8.69273544027983	6.68506053329429	8.44354020722398
BIRC3	8.25951251485595	7.00581720992219	8.70069015668129	7.10837239614643	8.18004740241535	6.53149646210966	7.81842355188696	7.30145293395464	8.61951694733941	7.37348652832946	8.43288839725309	7.25795580358698	8.69809301891472	6.98077598587065	7.47848154617504	7.41691162987113
TIGIT	6.21349633497669	6.68857012403547	7.78333340464526	8.00168257425667	7.4474453889665	8.04057300072891	8.27545622661016	8.06299399306488	7.23211444067307	7.30395606451347	8.176832061742	8.00925290477586	7.12659559359066	8.00255229023198	8.10299671462939	8.29715556383652
TESPA1	8.04648002230618	7.83394987068175	6.94742504568726	8.11301183785583	7.39091470307847	7.39178001146586	7.24248026542903	7.82486144003955	7.35943061719783	7.58476886112535	6.71668535139986	7.45263585634367	7.79017669906549	7.4962366582725	7.33457715795935	7.81337792745259
TCF7	8.31344470786789	7.62832300582967	4.97340118501867	8.60809612186192	6.23758190046621	7.3005099041467	3.55665674496173	7.94082796573001	6.62068282598987	7.25728247979933	4.1948824994465	7.16631683598682	7.93156208392406	7.39827617502679	7.60642646923045	8.25502718974781
CD27	6.93950208392428	7.49680922189431	6.49134818805547	8.10298927672691	6.3788603540657	6.86446798972062	6.51018717351019	7.98294996742906	6.60253276542329	7.19547095551645	6.59746939599607	7.94072101052897	7.02788336912612	7.85771285549956	7.39141595852407	8.5646430355933
SH2D1A	6.70685833462785	6.87941778756636	6.90559523923824	7.01500774482071	7.09868484567359	7.42538847484448	7.52573893889724	7.52506872990882	6.85367645782313	7.19975910142443	7.23963842571951	7.48439430667944	6.94436300897634	7.06353470048178	7.27558934018007	7.15020265678735
MYL6B	6.80620828699078	7.19147980400323	6.89038974015126	6.9690958106261	6.99688551925413	7.11446425969038	6.96600313224872	7.12937303182253	6.9097461000531	6.91008173183249	6.89084500775703	7.12632206322085	6.77081825168708	7.33937181581231	7.0803119497606	7.24651917606178
SIRPG	6.3953420690295	7.16844096830672	6.6900160817019	8.48729543761357	5.89806756415905	6.6440504248266	6.94840326059374	7.41874257638758	5.33424262986222	5.74934426287046	6.5949221628319	6.73279808773998	6.22559024657255	7.09288968799831	7.45289295893981	7.77267917725553
DUSP4	5.45323859039246	5.29787646362989	8.7962064874468	6.31018654470848	6.06586804372847	5.39003309439812	8.02143783406794	5.37870877577864	6.10146331233822	5.4189506957503	9.00957610398961	6.21058348104183	5.22995019098066	5.71321084855018	7.45353823618234	6.16009277706989
PASK	7.04681629040636	7.43208026654732	6.25451886157422	7.56121457766045	6.14013541223628	6.92391311906858	6.24626490618689	7.31085103566669	6.49281573499682	6.98067703732267	6.45632469501463	7.265180308271	6.68366163098024	7.13497675773444	6.35632355948867	7.39444734350272
SESN3	7.41725356991696	6.32408962518768	5.68621183251814	8.4373171460477	6.11721455352217	6.27832387840691	5.36550929594693	6.85617734711478	6.21403711064662	6.43017986863241	5.41372739523548	7.21189481101594	7.36239904333169	6.05668022245225	6.71092767675568	7.86989008949883
CD28	6.43714349727464	7.08914669461504	6.31594146132453	6.65262429690375	6.42687432472322	7.29392584911954	6.45811656138295	7.33943339302122	6.17218099892604	7.20001094881478	6.75026695602649	7.31502139951923	6.27170692554177	6.66765775366178	6.67070277339937	6.9147576784781
NR3C1	6.69032069936611	6.68135470741016	6.60192243863401	6.86753772378691	6.84543171573338	6.59009974878097	6.7064604269813	6.73146741497897	6.8659614337482	6.9674235100391	7.11065089169408	6.99278819468698	6.87328861210869	6.56633813872967	6.46175669449089	6.64000479846311
RNF19A	6.34111956509299	6.25140354513228	7.38776060189479	6.35962155436821	6.58196148234955	6.54391655244298	6.96300780917323	6.65581927467966	6.63090251742491	6.63926476472439	7.50569258765339	6.8703975114984	6.65879231422266	6.33724783733239	6.71953743045025	6.46155094236538
TNFSF8	7.74587982474062	6.87341501671922	5.0587081566001	4.84463584716776	7.65358736534571	6.67275474471617	4.84902303003808	5.99602017780553	7.58226518595222	6.88210327084885	5.0778240586064	5.65641051150876	8.03141618025616	7.12209079229777	5.13811265978829	5.30114637732991
FGFR1	5.30521390818324	5.3633628062905	7.05004950061186	7.59297339038787	4.80772412593031	5.02780504909203	6.84105681041344	6.02567553291019	5.83379837901056	5.69820061029848	7.40241098478188	6.8431210133912	5.36582022090919	5.65535652120253	7.68050609421847	7.25198948437953
FKBP5	6.69390370961055	6.71813434745821	6.41885905605598	7.08031867537275	6.28873769349855	6.10045286205146	6.12740190682502	6.72287220595446	6.46156531245856	6.65367908605257	5.85519614790238	6.6664422810219	6.46646192238223	5.96680459417879	6.73607401457888	6.86838938410999
ELMO1	6.15514416259697	6.65728450607995	6.8489621059638	6.71047832864235	6.172736888723	6.57652336598816	6.80882323567922	6.25082903671289	5.98925131740649	6.2321236348958	6.78941100198837	6.39410295220095	6.05696443988008	6.44292634754434	6.96035558999623	6.65246796687689
IFNAR2	6.76158504243501	6.59452312295404	6.07746415069625	6.65947916868099	6.33218219084648	6.25526914242453	6.47471275354528	6.58264989525397	6.40888425163183	6.39673287645505	6.42032962487006	6.63497832022709	6.5170011923487	6.11203797176218	6.78457602062481	6.568957989177
TBC1D4	6.48078783111518	6.28463760200967	7.03938940683441	6.12314180556883	5.98419493513026	6.23144626541977	6.83098198174534	6.97265229256035	5.61834461212261	6.43103837311471	6.45398399819467	6.47848218010737	6.420587444527	5.85702440941877	6.78969550402091	6.36115987580111
ITM2A	6.41639417501195	6.31572596928302	6.52729853506568	6.08708041229019	6.06347195541122	5.80582944718024	6.44397380492764	5.96719872354135	5.62400115511946	5.97566957687353	5.97234993895792	5.79152416787812	6.70943721432692	6.90004214590179	7.11967034791773	6.91289940362115
