	sgID	gene	Control_1	Control_2	Control_3	Control_4	Control_5	Model	Mean	Sample Variance	Model Variance	n	p
142	sgSH3BGRL2_3	SH3BGRL2	2315.89797111	2927.75300411	1582.18547852	2800.87246142	3589.36703147	Neg. Binomial	2643.21518933	446788.300086	502597.732335	13.9744442694	0.00525910687469
143	sgSH3BGRL2_4	SH3BGRL2	6581.11788438	6248.20015184	12848.2437795	3997.47257494	5634.92028596	Neg. Binomial	7061.99093532	9160403.94531	3575841.90155	13.9744442694	0.00197491699291
144	sgSH3BGRL2_5	SH3BGRL2	5231.25556603	5245.73926854	2684.53219996	3484.84794397	5523.04264199	Neg. Binomial	4433.8835241	1288415.61895	1411239.24381	13.9744442694	0.00314183689515
145	sgSHC4_1	SHC4	3180.58613351	4199.64570262	2695.75337357	3550.53243707	4222.03755083	Neg. Binomial	3569.71103952	347587.114055	915436.877991	13.9744442694	0.00389946169457
146	sgSHC4_2	SHC4	12641.4821747	11773.1885892	10721.0298686	6839.75482549	10723.643166	Neg. Binomial	10539.8197248	3939058.44837	7959893.48915	13.9744442694	0.00132411567305
147	sgSHC4_3	SHC4	6577.88339001	6763.06580681	3573.67662288	6267.15739647	7441.57324395	Neg. Binomial	6124.67129202	1775011.12104	2690424.50549	13.9744442694	0.00227647022971
148	sgSHC4_4	SHC4	4368.72373321	5327.55054846	2999.79374414	3386.32120431	5303.68429204	Neg. Binomial	4277.21470443	918142.928047	1313421.62683	13.9744442694	0.00325654353261
149	sgSHC4_5	SHC4	7116.96578552	5318.82401194	3083.68537539	5422.54049056	4344.66326539	Neg. Binomial	5057.33578576	1769404.87368	1835301.51272	13.9744442694	0.00275558852358
150	sgSLC29A1_1	SLC29A1	4131.52747919	3961.84758231	1940.19435073	4357.30936325	3262.52797552	Neg. Binomial	3530.6813502	766357.878046	895566.92668	13.9744442694	0.00394239810004
151	sgSLC29A1_2	SLC29A1	2865.76201453	2578.69154311	15958.6462349	3274.94315079	3381.73384944	Neg. Binomial	5611.95535855	26846358.6773	2259300.35536	13.9744442694	0.0024839350577
152	sgSLC29A1_3	SLC29A1	3510.50455956	4054.56703289	3759.62749978	2026.93778179	1599.01977596	Neg. Binomial	2990.13133	971773.837207	642792.702241	13.9744442694	0.00465178170127
153	sgSLC29A1_4	SLC29A1	8292.16540773	6755.43008735	7380.32618349	5983.71452948	9260.92846719	Neg. Binomial	7534.51293505	1318053.43833	4069870.30776	13.9744442694	0.00185129067152
154	sgSLC29A1_5	SLC29A1	1383.28542688	2190.36066775	897.159546921	2284.67802104	2164.27057975	Neg. Binomial	1783.95084847	301494.266624	229519.706804	13.9744442694	0.00777253889572
155	sgSNX9_1	SNX9	1643.12314151	2352.89241053	314.727202583	4088.85969578	1395.7835319	Neg. Binomial	1959.07719646	1562415.5074	276602.088947	13.9744442694	0.00708265510184
156	sgSNX9_2	SNX9	4596.21650412	4381.81215257	4289.16002569	3981.05145166	6061.91181794	Neg. Binomial	4662.0303904	529057.2727	1559967.33928	13.9744442694	0.00298854358871
157	sgSNX9_3	SNX9	2984.36014154	4942.4921243	4364.50219133	7174.60294795	5437.54662586	Neg. Binomial	4980.7008062	1877690.27925	1780176.91202	13.9744442694	0.00279786844362
158	sgSNX9_4	SNX9	3384.35927901	2953.93261368	1981.87299555	2568.12088803	1984.97322021	Neg. Binomial	2574.6517993	299726.065694	476928.533773	13.9744442694	0.0053984016828
159	sgSNX9_5	SNX9	6624.24447602	6883.05568403	5735.62273773	8306.94649213	6917.36052791	Neg. Binomial	6893.44598356	682337.534346	3407357.65137	13.9744442694	0.00202310608069
160	sgSPRY1_1	SPRY1	4272.76706681	4993.76052638	4368.77692414	3454.86154494	5812.26345084	Neg. Binomial	4580.48590262	618922.722205	1505953.32762	13.9744442694	0.00304158556486
161	sgSPRY1_2	SPRY1	6123.97601299	7804.79610447	6554.23406941	10117.5538238	6560.72000348	Neg. Binomial	7432.25600283	2118340.91204	3960249.85838	13.9744442694	0.00187671391165
162	sgSPRY1_3	SPRY1	3141.77220103	3165.55112441	3776.72643099	3803.98890503	4466.31188263	Neg. Binomial	3670.87010882	239389.132481	967951.602568	13.9744442694	0.00379241079727
163	sgSPRY1_4	SPRY1	4429.10096151	4589.06739504	5601.50299605	3571.95129352	2786.19302851	Neg. Binomial	4195.56313493	912253.647574	1263834.20635	13.9744442694	0.0033197100647
164	sgSPRY1_5	SPRY1	5320.74324368	8500.73739234	5336.4695623	6538.46291147	7520.22957879	Neg. Binomial	6643.32853772	1537406.42605	3164823.59025	13.9744442694	0.002099114958
165	sgSRGAP3_1	SRGAP3	9990.27495359	9501.01664151	9775.77957768	12078.0931506	9031.3105953	Neg. Binomial	10075.2949837	1105567.47977	7274161.58366	13.9744442694	0.00138507989792
166	sgSRGAP3_2	SRGAP3	4650.12474367	5623.16197324	3859.54937904	3005.77952143	8612.13584193	Neg. Binomial	5150.15029186	3744617.25314	1903189.7086	13.9744442694	0.00270606249528
167	sgSRGAP3_3	SRGAP3	3741.23182484	5814.05495973	2142.17547564	5468.94801287	3542.46635976	Neg. Binomial	4141.77532657	1815182.48181	1231689.89996	13.9744442694	0.0033626770234
168	sgSRGAP3_4	SRGAP3	7288.39398729	6067.12451895	5708.90565772	7840.72938346	7205.60423943	Neg. Binomial	6822.15155737	642260.202494	3337312.5077	13.9744442694	0.00204420519254
169	sgSRGAP3_5	SRGAP3	6850.65908214	6283.10629794	1200.6655759	7219.58254649	7672.16821317	Neg. Binomial	5845.23634313	5600230.02754	2450793.11751	13.9744442694	0.00238503866416
170	sgXCL2_1	XCL2	7666.82982894	7298.65698603	7503.22475156	11381.9803161	8615.06713391	Neg. Binomial	8493.15180331	2289954.99315	5170317.56238	13.9744442694	0.00164267507766
171	sgXCL2_2	XCL2	11909.4082816	10763.0919864	8036.49766867	12964.8338075	13708.1869519	Neg. Binomial	11476.4037392	3945108.14824	9436383.77367	13.9744442694	0.00121618662556
172	sgXCL2_3	XCL2	9646.34038525	12100.4337089	10438.3631621	12041.6810946	10273.2012982	Neg. Binomial	10900.0039298	984424.884699	8512854.24121	13.9744442694	0.00128041707528
173	sgXCL2_4	XCL2	6751.46792136	6682.34534396	1615.31465774	6772.64240862	5264.60039895	Neg. Binomial	5417.27414613	3939141.30337	2105454.92921	13.9744442694	0.00257297084396
174	sgXCL2_5	XCL2	5196.75429271	7991.32582269	12336.878868	3011.49121648	7302.82542349	Neg. Binomial	7167.85512467	9715145.37165	3683746.76573	13.9744442694	0.00194580561057
175	sgZAP70_1	ZAP70	3491.09759332	3082.64902743	5860.6586722	8411.18492684	6465.45301408	Neg. Binomial	5462.20864677	3881861.11015	2140482.58768	13.9744442694	0.00255185848192
176	sgZAP70_2	ZAP70	4683.54785219	3496.0686953	9023.96094604	13808.7367515	4593.82308383	Neg. Binomial	7121.22746577	14763001.2126	3636022.64505	13.9744442694	0.00195852120873
177	sgZAP70_3	ZAP70	2736.38223961	2902.6642116	2367.13328937	8291.23933073	4848.35693756	Neg. Binomial	4229.15520177	4867802.66523	1284119.31583	13.9744442694	0.00329342853863
178	sgZAP70_4	ZAP70	9989.19678879	5181.38106167	3674.13284373	6338.55358462	4183.93075507	Neg. Binomial	5873.43900678	5065224.7243	2474471.48135	13.9744442694	0.00237361353769
179	sgZAP70_5	ZAP70	2696.49014234	5634.0701439	13052.8966124	14207.8414433	3822.404744	Neg. Binomial	7882.74061719	23035490.7527	4454399.42779	13.9744442694	0.00176965284433
