	sgID	gene	Control_1	Control_2	Control_3	Control_4	Control_5	Model	Mean	Sample Variance	Model Variance	n	p
10	sgCAMK1_1	CAMK1	7040.41608536	5004.66869704	3530.39495325	5344.71864547	4904.54003388	Neg. Binomial	5164.947683	1262992.69012	1914127.05407	13.9744442694	0.00269833064217
11	sgCAMK1_2	CAMK1	6084.08391572	5428.99653556	3883.06040946	5561.04909559	5577.76009232	Neg. Binomial	5306.99000973	556839.698866	2020710.42362	13.9744442694	0.00262629912119
12	sgCAMK1_3	CAMK1	7759.55200097	5276.28214638	1259.97749353	6127.93482956	4606.52534908	Neg. Binomial	5006.0543639	4621220.68468	1798321.03786	13.9744442694	0.00278373786355
13	sgCAMK1_4	CAMK1	9123.43046161	8086.2269074	3090.09747459	4717.86011345	8113.81620506	Neg. Binomial	6626.28623242	5345324.53558	3148623.80596	13.9744442694	0.00210450236065
14	sgCAMK1_5	CAMK1	3953.63028867	5505.35373016	3929.54812868	6350.69093661	5731.65292135	Neg. Binomial	5094.17520109	962295.267049	1862099.75475	13.9744442694	0.00273571552119
15	sgCLNK_1	CLNK	9815.61225744	5733.33449687	5138.22882858	4318.04145977	4649.02908281	Neg. Binomial	5930.84922509	4000570.94867	2523023.61175	13.9744442694	0.00235069113007
16	sgCLNK_2	CLNK	2892.7161343	1893.65842591	3716.34583016	662.556626102	2283.96500233	Neg. Binomial	2289.84840376	1040684.81013	377503.746797	13.9744442694	0.00606576338166
17	sgCLNK_3	CLNK	6563.86724773	6638.71266133	5361.58361751	3359.90461469	5294.40186743	Neg. Binomial	5443.69400174	1410813.23279	2126014.91768	13.9744442694	0.00256051543029
18	sgCLNK_4	CLNK	3686.2454205	4834.5012348	4067.40826156	4378.01425782	4741.36478023	Neg. Binomial	4341.50679098	181752.039163	1353137.98505	13.9744442694	0.00320847307441
19	sgCLNK_5	CLNK	8763.32342141	9146.50109518	7646.96264204	4304.47618402	6026.2477655	Neg. Binomial	7177.50222163	3238368.79272	3693659.56536	13.9744442694	0.00194319538512
20	sgDUSP4_1	DUSP4	7157.93604758	7295.38453483	11479.2605995	3916.79488232	6719.49831915	Neg. Binomial	7313.77487668	5853706.59225	3835108.42026	13.9744442694	0.00190705817808
21	sgDUSP4_2	DUSP4	5383.27680156	4136.37831281	13327.0138533	3777.57231541	7519.74103012	Neg. Binomial	6828.79646264	12270569.0065	3343810.23409	13.9744442694	0.00204222009761
22	sgDUSP4_3	DUSP4	9101.86716579	7199.39263306	10579.4293445	6919.71855623	10613.7197167	Neg. Binomial	8882.82548326	2522034.74722	5655231.76393	13.9744442694	0.00157072704604
23	sgDUSP4_4	DUSP4	11712.1041248	9051.60001047	8403.59034808	6215.03817911	12175.6097942	Neg. Binomial	9511.58849133	4849154.36085	6483494.65961	13.9744442694	0.00146704655293
24	sgDUSP4_5	DUSP4	3705.65238673	2529.60477516	1313.41165356	5475.3736698	3821.91619534	Neg. Binomial	3369.19173612	1937061.1112	815670.041479	13.9744442694	0.00413058168718
25	sgENTPD1_1	ENTPD1	6102.41271717	5582.80174182	2172.09860526	5620.30793176	6053.117942	Neg. Binomial	5106.1477876	2197900.1067	1870850.84047	13.9744442694	0.00272931848822
26	sgENTPD1_2	ENTPD1	866.84449198	607.585105547	1.06868320062	5536.77439162	2539.96450205	Neg. Binomial	1910.44743488	3995764.70081	263087.874678	13.9744442694	0.00726163240026
27	sgENTPD1_3	ENTPD1	2527.21827015	2828.48865114	901.434279724	2471.73603401	2948.39118482	Neg. Binomial	2335.45368397	546106.8092	392643.919968	13.9744442694	0.00594801947821
28	sgENTPD1_4	ENTPD1	2978.96931759	3532.06565846	4230.91679126	4367.3048296	5417.02758199	Neg. Binomial	4105.25683578	680454.753095	1210101.95787	13.9744442694	0.0033924883842
29	sgENTPD1_5	ENTPD1	4706.1893128	5229.37701256	2189.19753647	6065.82014586	6440.04848357	Neg. Binomial	4926.12649825	2244394.95397	1741433.26832	13.9744442694	0.00282877706994
30	sgFAM3C_1	FAM3C	3082.47313752	4989.39725812	5639.97559128	3097.88060415	4079.86988972	Neg. Binomial	4177.91929616	1034440.92833	1253244.38009	13.9744442694	0.0033336828495
31	sgFAM3C_2	FAM3C	9926.66323091	11277.9576414	8552.67165457	11067.8370882	10615.1853627	Neg. Binomial	10288.0629956	967428.196954	7584416.81975	13.9744442694	0.00135647383841
32	sgFAM3C_3	FAM3C	10502.4032293	8850.8896704	7918.408175	11159.224209	9722.60695429	Neg. Binomial	9630.7064476	1328949.42192	6646782.41651	13.9744442694	0.00144892759295
33	sgFAM3C_4	FAM3C	4725.59627904	3149.18886843	1440.58495444	3664.05237624	2553.15531597	Neg. Binomial	3106.51555882	1203124.60594	693684.167963	13.9744442694	0.00447828522301
34	sgFAM3C_5	FAM3C	8128.28435949	7852.79205536	4403.50912816	4818.52873875	7107.40595805	Neg. Binomial	6462.10404796	2413147.4721	2994687.46183	13.9744442694	0.00215785591329
35	sgGEM_1	GEM	10183.2664512	7536.45510633	7957.94945342	6921.86044187	7892.99220911	Neg. Binomial	8098.50473239	1221722.83529	4701364.12847	13.9744442694	0.0017225861497
36	sgGEM_2	GEM	4070.0720861	5151.9290009	539.685016313	3764.00703966	5049.63898697	Neg. Binomial	3715.06642599	2811425.8558	991354.952738	13.9744442694	0.00374746342441
37	sgGEM_3	GEM	3853.3609631	2797.9457733	3792.2223374	1374.37662203	2256.60627717	Neg. Binomial	2814.9023946	884129.410453	569826.751908	13.9744442694	0.00493992671487
38	sgGEM_4	GEM	8473.29709262	7507.00304556	7905.04963499	9323.62821149	7779.64891916	Neg. Binomial	8197.72538076	416228.263375	4817169.02491	13.9744442694	0.00170177241828
39	sgGEM_5	GEM	5950.39148164	4319.63557983	5170.8236662	2952.94634219	4388.14409645	Neg. Binomial	4556.38823326	995231.952852	1490173.51418	13.9744442694	0.00305762261234
40	INTERGENIC12191	Intergenic	5945.00065768	5300.28012182	4743.88472756	4140.97891314	5440.47791784	Neg. Binomial	5114.12446761	383121.096119	1876692.59771	13.9744442694	0.00272507307475
41	INTERGENIC14666	Intergenic	5912.65571395	8440.74245373	5511.7336072	5300.45300881	9707.46194572	Neg. Binomial	6974.60934588	3137716.00131	3487984.27169	13.9744442694	0.00199961032006
42	INTERGENIC17236	Intergenic	9068.44405726	7533.18265514	9270.82676538	3332.06010131	6742.948655	Neg. Binomial	7189.49244682	4611944.0635	3705998.59329	13.9744442694	0.00193996092169
43	INTERGENIC19822	Intergenic	5703.49174449	6523.08605238	5936.53517945	6459.92710449	4984.66201471	Neg. Binomial	5921.5404191	315445.716775	2515119.06263	13.9744442694	0.00235437777363
44	INTERGENIC22544	Intergenic	6073.30226781	6872.14751337	13526.8576119	9405.73382787	8489.99867603	Neg. Binomial	8873.6079794	6786120.44681	5643510.45321	13.9744442694	0.00157235608102
45	INTERGENIC2261	Intergenic	3202.14942933	4097.10889845	3084.75405859	3458.43135435	2944.48279551	Neg. Binomial	3357.38530725	165263.150951	809975.228851	13.9744442694	0.00414504689484
46	INTERGENIC25153	Intergenic	2836.65156517	4618.51945581	4515.72086422	9911.93280191	4800.47916853	Neg. Binomial	5336.66077113	5732064.0352	2043338.86229	13.9744442694	0.00261173556164
47	INTERGENIC27867	Intergenic	10275.9886232	12440.7686333	6284.39156125	7351.66549458	10891.2153576	Neg. Binomial	9448.80593399	5225626.65714	6398249.0943	13.9744442694	0.00147677994319
48	INTERGENIC30558	Intergenic	3695.94890361	3286.6318187	2521.55801186	4432.27536082	3279.62717874	Neg. Binomial	3443.20825475	388569.138974	851826.360886	13.9744442694	0.00404214803961
49	INTERGENIC33423	Intergenic	3719.66852902	4066.56602061	2781.78237122	6969.69588794	3728.60340059	Neg. Binomial	4253.26324188	2027821.87848	1298776.88479	13.9744442694	0.00327482209739
50	INTERGENIC36225	Intergenic	3353.09250007	3022.65408882	7801.92170613	5962.29567303	3578.1304122	Neg. Binomial	4743.61887605	3418407.2193	1614962.93117	13.9744442694	0.00293729272944
51	INTERGENIC39333	Intergenic	3999.99137468	3669.50860873	2627.35764873	1819.88883614	4071.56456244	Neg. Binomial	3237.66220614	769116.639591	753353.828474	13.9744442694	0.00429766476757
52	INTERGENIC42167	Intergenic	4666.29721553	5013.39523357	9392.65665026	4959.17922942	3313.8255852	Neg. Binomial	5469.0707828	4230336.58476	2145857.24298	13.9744442694	0.0025486647822
53	INTERGENIC44800	Intergenic	5772.49429112	5324.27809727	18400.0530067	6938.99552703	5792.7215043	Neg. Binomial	8445.70848528	25057380.1012	5112762.59174	13.9744442694	0.00165188747448
54	INTERGENIC4649	Intergenic	15045.7896587	12274.9644394	10178.1388027	7537.29558379	10895.1237469	Neg. Binomial	11186.2624463	6099451.30396	8965565.06314	13.9744442694	0.00124769184848
